"","title","beds","bath","area","adress","type","purpose","flooPlan","url","lastUpdated","price","lon","lat","address"
"11","Properly-constructed 1950 SQ FT flat is now offering to you in Bashundhara R-A for rent","3","4","2,100 sqft","Block F, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/78452-400x300.webp","https://www.bproperty.com/en/property/details-3850942.html","August 16, 2022","30 Thousand",90.4349092,23.820682,"block f, dhaka, bangladesh"
"12","800 Sq Ft Apartment For Rent In Dakshin Khan","2","2","2,000 sqft","Madhya Ajampur, Dakshin Khan, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/896100-240x180.webp","https://www.bproperty.com/en/property/details-2051123.html","January 16, 2023","13 Thousand",90.4081003,23.8642566,"madhya ajampur, dhaka 1230, bangladesh"
"13","Offering You 2200 Sq Ft Amazing Apartment For Rent In Mirpur DOHS","4","4","2,100 sqft","Avenue 10, Mirpur DOHS, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1225695-240x180.webp","https://www.bproperty.com/en/property/details-5190278.html","January 17, 2023","42 Thousand",90.3753218,23.8372676,"avenue 10, dhaka, bangladesh"
"14","This 1250 Sq Ft Convenient Apartment Is Up For Rent In West Shewrapara Near Shewrapara WASA Water Pump","3","3","1,500 sqft","West Shewrapara, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1257631-400x300.webp","https://www.bproperty.com/en/property/details-4408706.html","September 13, 2022","18 Thousand",90.3736584,23.7881199,"west shewrapara, dhaka, bangladesh"
"15","2500 Sq Ft Furnished Apartment For Rent At Gulshan 1","4","3","1,500 sqft","Gulshan 1, Gulshan, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1439484-240x180.webp","https://www.bproperty.com/en/property/details-3071753.html","November 28, 2021","2.5 Lakh",90.4160527,23.7820624,"gulshan 1, dhaka 1212, bangladesh"
"16","Near To Chapra Masjid 700 Sq. Ft Flat For Rent In Bashundhara R-A","2","2","1,250 sqft","Block F, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1194867-400x300.webp","https://www.bproperty.com/en/property/details-5059164.html","January 21, 2023","17 Thousand",90.4349092,23.820682,"block f, dhaka, bangladesh"
"17","Offering You A Nice Flat For Rent In West Kazipara Near Exim Bank Hospital","3","2","1,700 sqft","West Kazipara, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1251341-400x300.webp","https://www.bproperty.com/en/property/details-1940754.html","January 22, 2023","16 Thousand",90.3707161,23.797795,"west kazipara, dhaka, bangladesh"
"18","An Elegant Apartment For Rent In Baridhara Near High Commission Of Malaysia","3","4","1,500 sqft","Block K, Baridhara, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/46850-240x180.webp","https://www.bproperty.com/en/property/details-1888564.html","January 20, 2023","1.7 Lakh",90.420766,23.8028731,"baridhara k block, dhaka 1212, bangladesh"
"19","Looking For A Tasteful Full Furnished Home To Rent In Gulshan 1 ? Check This One","4","4","2,150 sqft","Gulshan 1, Gulshan, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1538103-240x180.webp","https://www.bproperty.com/en/property/details-2021485.html","July 17, 2022","1.5 Lakh",90.4160527,23.7820624,"gulshan 1, dhaka 1212, bangladesh"
"20","We Are Happy To Present This Modern 1600 Sq Ft Apartment In Nikunja 2","3","3","","Nikunja 2, Nikunja, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-4473935.html","January 21, 2023","30 Thousand",90.4178201,23.8318836,"nikunja 2, dhaka, bangladesh"
"21","At Uttara, 1400 Sq Ft Nice Flat Up For Rent Near Trust College","3","3","1,500 sqft","Sector 13, Uttara, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1419453-240x180.webp","https://www.bproperty.com/en/property/details-2034456.html","January 21, 2023","27 Thousand",90.3877848,23.8713728,"sector-13, dhaka 1230, bangladesh"
"22","1500 SQ Ft apartment for rent is all set for you to settle in Bashundhara close to Bangladesh Resource Improvement Trust (BRIT) HQ","3","3","1,850 sqft","Block G, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1500159-400x300.webp","https://www.bproperty.com/en/property/details-1856452.html","July 20, 2022","35 Thousand",90.433141,23.8244052,"block g, dhaka, bangladesh"
"23","An Apartment Is Ready For Rent At Bashundhara R-A, Very Near To Viquarunnisa Noon School and College.","3","4","1,850 sqft","Block F, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1500159-400x300.webp","https://www.bproperty.com/en/property/details-1936852.html","November 26, 2022","35 Thousand",90.4349092,23.820682,"block f, dhaka, bangladesh"
"24","Properly Constructed Flat For Rent In Uttara-10, Near First Security Islami Bank Limited","4","4","1,750 sqft","Sector 10, Uttara, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1475217-240x180.webp","https://www.bproperty.com/en/property/details-1882477.html","January 23, 2023","36 Thousand",90.3883735,23.884012,"sector 10, dhaka 1230, bangladesh"
"25","For rental purpose 1550 Square feet flat is available in Bashundhara R-A near to NSU","3","4","","Block F, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-2016688.html","January 14, 2023","28 Thousand",90.4349092,23.820682,"block f, dhaka, bangladesh"
"26","A Comfortable 1500 Sq Ft Residence Is Here For Rent In Bashundhara R-A Near Bashundhara Bus Stand","3","3","","Block G, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1160445-240x180.webp","https://www.bproperty.com/en/property/details-2084131.html","January 12, 2022","30 Thousand",90.433141,23.8244052,"block g, dhaka, bangladesh"
"27","A 1165 Sq Ft Flat Is Available For Rent In Block F, Bashundhara R-A.","3","3","1,450 sqft","Block F, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/602572-400x300.webp","https://www.bproperty.com/en/property/details-2028439.html","January 14, 2023","22 Thousand",90.4349092,23.820682,"block f, dhaka, bangladesh"
"28","An Impressive 1500 Sq Ft Flat Is Here For Rent In Block G, Bashundhara R/A","3","3","","Block G, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1161377-240x180.webp","https://www.bproperty.com/en/property/details-2083959.html","January 12, 2022","35 Thousand",90.433141,23.8244052,"block g, dhaka, bangladesh"
"29","Properly Designed This 1500 Sq Ft Apartment Is Now Up For Rent In Bashundhara R-A","3","3","","Block G, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1161715-240x180.webp","https://www.bproperty.com/en/property/details-2083960.html","January 12, 2022","35 Thousand",90.433141,23.8244052,"block g, dhaka, bangladesh"
"30","1800 Sq Ft Full Furnished Apartment Is Available For Rent In Bashundhara","4","4","1,200 sqft","Block B, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1569717-240x180.webp","https://www.bproperty.com/en/property/details-3124512.html","January 12, 2023","1.2 Lakh",90.4272477,23.8140104,"block b, dhaka, bangladesh"
"31","Well Built And Properly Designed Residential Property Of 1910 Sq Ft In Bashundhara R-a Is For Rent.","4","3","1,300 sqft","Block D, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1219305-240x180.webp","https://www.bproperty.com/en/property/details-5007644.html","January 11, 2023","50 Thousand",90.433141,23.8154814,"block d, dhaka, bangladesh"
"32","Live In This 1980 Sq Ft Apartment Ready To Rent In Mirpur-12","3","3","","Block B, Section 12, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-5461880.html","January 12, 2023","38 Thousand",90.3689505,23.7572153,"block # b, dhaka 1205, bangladesh"
"33","View This 1880 Sq Ft Apartment Ready To Rent In Mirpur-12, Block B","3","3","1,150 sqft","Block B, Section 12, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/69264-400x300.webp","https://www.bproperty.com/en/property/details-5461879.html","January 12, 2023","35 Thousand",90.3689505,23.7572153,"block # b, dhaka 1205, bangladesh"
"34","3 Bedroom Home Which Will Fulfill Your Desire Is Now Vacant For Rent In Middle Paikpara Close To Shah Shaheb Nagar Jame Mosque.","3","3","1,225 sqft","Middle Paikpara, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/234482-400x300.webp","https://www.bproperty.com/en/property/details-5412972.html","January 23, 2023","15 Thousand",90.3589489,23.7903857,"middle paikpara, dhaka, bangladesh"
"35","Comfortable And Nicely Planned Flat In Gulshan 2 For Rent Nearby Gulshan Central Masjid","3","3","2,150 sqft","Gulshan 2, Gulshan, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/28663-240x180.webp","https://www.bproperty.com/en/property/details-1959706.html","September 28, 2021","80 Thousand",90.4143085,23.7947536,"gulshan 2, dhaka 1212, bangladesh"
"36","2500 Sq Ft Furnished Residential Apartment For Rent In Mohakhali DOHS","3","4","1,150 sqft","Mohakhali DOHS, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/69264-400x300.webp","https://www.bproperty.com/en/property/details-5186677.html","January 10, 2023","1.1 Lakh",90.3954387,23.78286,"mohakhali dohs, dhaka, bangladesh"
"37","An Appropriate 800 Sq Ft Residence Is Prepared To Be Rented In South Monipur Road","2","2","1,700 sqft","South Monipur, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1477801-240x180.webp","https://www.bproperty.com/en/property/details-5445056.html","January 11, 2023","14 Thousand",90.3671856,23.7948286,"south monipur, dhaka, bangladesh"
"38","Make This 1370 Sq Ft Residence Located At Rajabazar Yours By Renting It","3","3","1,700 sqft","Rajabazar, Tejgaon, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1418135-240x180.webp","https://www.bproperty.com/en/property/details-5349597.html","January 10, 2023","35 Thousand",90.3860187,23.7531346,"rajabazar, dhaka 1205, bangladesh"
"39","1050 Sq Ft Flat With Comfy Rooms Is For Rent In West Kazipara, Mirpur","3","2","1,350 sqft","West Kazipara, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1570033-240x180.webp","https://www.bproperty.com/en/property/details-5430667.html","January 9, 2023","17 Thousand",90.3707161,23.797795,"west kazipara, dhaka, bangladesh"
"40","In An Urban Location This 4 Bedroom Home Is Vacant For Rent In Rokonpur .","4","2","","Rokonpur, Kolta Bazar, Sutrapur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-5425424.html","April 10, 2022","22 Thousand",90.4140721,23.7101528,"86/87 haji abdul masjid lane kaltabazar, ঢাকা 1100, bangladesh"
"41","Immaculate 2 Bedrooms Apartment In South Monipur Road Is Up For Rent","2","2","1,800 sqft","South Monipur, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1479554-240x180.webp","https://www.bproperty.com/en/property/details-5445049.html","January 11, 2023","14 Thousand",90.3671856,23.7948286,"south monipur, dhaka, bangladesh"
"42","A Well-featured 1100 Sq Ft Flat Is For Rent In West Kazipara, Mirpur","3","2","1,800 sqft","West Kazipara, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1570027-240x180.webp","https://www.bproperty.com/en/property/details-5430666.html","January 9, 2023","17 Thousand",90.3707161,23.797795,"west kazipara, dhaka, bangladesh"
"43","Well Organized Flat Of 1450 Sq Ft Is Vacant For Rent In Banani","3","4","","Banani, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-2075954.html","January 10, 2023","72 Thousand",90.4066082,23.7936706,"banani model town, dhaka, bangladesh"
"44","1230 Sq Ft Peaceful Flat Is For Rent In West Kazipara, Mirpur","3","3","","West Kazipara, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1569807-240x180.webp","https://www.bproperty.com/en/property/details-5430665.html","January 9, 2023","18 Thousand",90.3707161,23.797795,"west kazipara, dhaka, bangladesh"
"45","View This 1050 Sq Ft Flat Up For Rent In The Great Location Of West Kazipara, Mirpur","3","2","","West Kazipara, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1569952-240x180.webp","https://www.bproperty.com/en/property/details-5430661.html","January 9, 2023","17 Thousand",90.3707161,23.797795,"west kazipara, dhaka, bangladesh"
"46","Get To Live In This 1100 Sq Ft Flat Up For Rent In West Kazipara, Mirpur","3","2","","West Kazipara, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1569939-240x180.webp","https://www.bproperty.com/en/property/details-5430660.html","January 9, 2023","17 Thousand",90.3707161,23.797795,"west kazipara, dhaka, bangladesh"
"47","Properly Constructed Duplex Flat For Rent In Uttara, Near Singapore International School","5","5","1,700 sqft","Sector 11, Uttara, Dhaka","Duplex","For Rent","https://images-cdn.bproperty.com/thumbnails/1542693-240x180.webp","https://www.bproperty.com/en/property/details-1912420.html","January 8, 2023","70 Thousand",90.3901397,23.8773155,"sector 11, dhaka 1230, bangladesh"
"48","This Home Including 2 Bedroom Is Now Available For Rent In South Monipur Road","2","2","1,700 sqft","South Monipur, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1479987-240x180.webp","https://www.bproperty.com/en/property/details-5446215.html","January 9, 2023","14 Thousand",90.3671856,23.7948286,"south monipur, dhaka, bangladesh"
"49","2950 Sq Ft Semi Furnished Flat Is Available For Rent In Basundhara Road, Bashundhara R-a","4","4","","Block B, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1480495-240x180.webp","https://www.bproperty.com/en/property/details-3278322.html","January 23, 2022","80 Thousand",90.4272477,23.8140104,"block b, dhaka, bangladesh"
"50","Visit This Apartment For Rent Of 1495 Sq Ft In Mohammadpur Near Pc Culture Housing Society Jam-e-masjid","3","3","","PC Culture Housing, Mohammadpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-1881125.html","January 23, 2023","23 Thousand",90.3518903,23.7680904,"pc culture housing, dhaka, bangladesh"
"51","At Gulshan, 2800 Sq Ft Beautiful Flat For Rent Close To City Bank","3","3","","Gulshan 1, Gulshan, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-1931547.html","July 17, 2022","80 Thousand",90.4160527,23.7820624,"gulshan 1, dhaka 1212, bangladesh"
"52","An Apartment Is Ready For Rent At Mohammadpur , Near Prominent Housing Baitul Abrar Jam-e-Masjid.","2","2","","PC Culture Housing, Mohammadpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-1933037.html","March 6, 2020","15 Thousand",90.3518903,23.7680904,"pc culture housing, dhaka, bangladesh"
"53","Check This Nice Flat For Rent At Uttara Nearby Milestone School & College","3","4","","Sector 4, Uttara, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-1956498.html","January 23, 2023","45 Thousand",90.4042719,23.8624077,"sector 4, dhaka 1230, bangladesh"
"54","Grab This Lovely 2500 Sq. Ft Duplex Flat For Rent In Bashundhara R-A Before It's Rented Out","4","4","","Block H, Bashundhara R-A, Dhaka","Duplex","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-2026992.html","April 6, 2022","45 Thousand",90.4390353,23.8258759,"block h, dhaka, bangladesh"
"55","Amazing Flat Including 3 Bedrooms Are Up For Rent In Khilgaon Block C.","3","3","","Khilgaon, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-4215102.html","July 5, 2022","35 Thousand",90.4643906,23.7566389,"khilgaon, dhaka, bangladesh"
"56","View This 1700 Square Feet Apartment For Rent In Banasree","4","3","1,800 sqft","Block E, Banasree, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1544893-400x300.webp","https://www.bproperty.com/en/property/details-4607410.html","March 16, 2022","35 Thousand",90.3658778,23.7548025,"block-e, dhaka, bangladesh"
"57","Well Defined And Nice Flat Of 1200 Sq Ft Is Up For Rent In Adabor Close To Baitul Aman Housing Society Jame Mosque","3","3","","Baitul Aman Housing Society, Adabor, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-3807226.html","July 19, 2022","18 Thousand",90.3564904,23.7708309,"house no 726, 6 রোড নং ১০, dhaka 1207, bangladesh"
"58","This Modest 800 Sq. Ft Flat At South Monipur Which Is Up For Rent.","2","2","","South Monipur, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1477981-240x180.webp","https://www.bproperty.com/en/property/details-5445058.html","January 11, 2023","14 Thousand",90.3671856,23.7948286,"south monipur, dhaka, bangladesh"
"59","Reside At Comfort, In This 800 Sq Ft Flat For Rent In South Monipur Road","2","2","","South Monipur, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1479616-240x180.webp","https://www.bproperty.com/en/property/details-5445051.html","January 11, 2023","14 Thousand",90.3671856,23.7948286,"south monipur, dhaka, bangladesh"
"60","Comfortable And Well-designed Apartment Of 800 Sq Ft In South Monipur For Rent","2","2","","South Monipur, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1479842-240x180.webp","https://www.bproperty.com/en/property/details-5446212.html","January 11, 2023","14 Thousand",90.3671856,23.7948286,"south monipur, dhaka, bangladesh"
"61","A very reasonable 650 SQ FT residential flat is up for rent located at Talertek","2","2","","Talertek, Khilkhet, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-5365280.html","January 17, 2023","11 Thousand",90.4298538,23.8280617,"rchh+6wh, dhaka, bangladesh"
"62","Have A Look At This 3500 Sq Ft Residential Flat Ready For Rent Situated At Gulshan 2 Area Nearby Shikder Medical College & Hospital.","4","4","","Gulshan 2, Gulshan, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-1683951.html","July 5, 2022","2 Lakh",90.4143085,23.7947536,"gulshan 2, dhaka 1212, bangladesh"
"63","Check This Nice 3 Bedrooms Flat For Rent At Madhya Ajampur Nearby Nur Masjid","3","3","","Madhya Ajampur, Dakshin Khan, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-1830831.html","July 15, 2022","18 Thousand",90.4081003,23.8642566,"madhya ajampur, dhaka 1230, bangladesh"
"64","Apartment For Rent In Uttara Nearby Mollartek Udayan School And College","3","3","1,250 sqft","Sector 4, Uttara, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1558228-240x180.webp","https://www.bproperty.com/en/property/details-1864249.html","November 17, 2022","50 Thousand",90.4042719,23.8624077,"sector 4, dhaka 1230, bangladesh"
"65","Grab This, Flat Up For Rent In Gulshan 2 Near Green Dale Int School","3","4","1,800 sqft","Gulshan 2, Gulshan, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1412204-400x300.webp","https://www.bproperty.com/en/property/details-1875759.html","January 8, 2023","2 Lakh",90.4143085,23.7947536,"gulshan 2, dhaka 1212, bangladesh"
"66","An Apartment Is Ready For Rent At Uttara , Near Rajuk Uttara Ideal High School.","2","2","1,500 sqft","Sector 13, Uttara, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1257631-400x300.webp","https://www.bproperty.com/en/property/details-1963566.html","January 22, 2023","22 Thousand",90.3877848,23.8713728,"sector-13, dhaka 1230, bangladesh"
"67","An Apartment For Rent Is All Set For You To Settle In Mirpur Close To Al-arafah Islami Bank Limited, Mirpur-1 Branch Atm","2","2","1,250 sqft","Shah Ali Bag, Section 1, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1194867-400x300.webp","https://www.bproperty.com/en/property/details-1828416.html","January 15, 2023","13 Thousand",90.3571841,23.797083,"shah ali bag, dhaka, bangladesh"
"68","Well Organized Flat Of 1200 Sq Ft Is Now Vacant For Rent In Modhubag Near By Hazipara Cng Filling Station","3","2","1,250 sqft","Modhubag, Boro Maghbazar, Maghbazar, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1194867-400x300.webp","https://www.bproperty.com/en/property/details-5300053.html","January 23, 2023","21 Thousand",90.4089838,23.7493571,"mogbazar, dhaka, bangladesh"
"69","A Cozy Apartment Of 850 Sq Ft Is For Rent At North Road, Dhanmondi","2","2","1,350 sqft","Dhanmondi, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1510449-400x300.webp","https://www.bproperty.com/en/property/details-4524824.html","January 23, 2023","22 Thousand",90.3742307,23.7461495,"dhanmondi, dhaka 1205, bangladesh"
"70","1400 Square Feet Apartment Is For Rent Near By Jafrabad Government Primary School","3","3","","Sher-E-Bangla Road, Dhanmondi, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-2056299.html","January 23, 2023","32 Thousand",90.3668659,23.7407955,"sher-e-bangla rd, dhaka, bangladesh"
"71","Seize This 710 Sq Ft Flat Up For Rent In Uttara-7","1 Bed","2","1,240 sqft","Sector 7, Uttara, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1565147-400x300.webp","https://www.bproperty.com/en/property/details-3042199.html","January 23, 2023","21 Thousand",90.3972052,23.871349,"sector 7, dhaka 1230, bangladesh"
"72","Offering You A 1050 Sq Ft Flat For Rent In Mohammadpur Near To Mohammadpur Shia Masjid","3","2","","Block A, Nobodoy Housing Society, Mohammadpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-1815156.html","July 17, 2022","16 Thousand",90.3515962,23.7640006,"nobodoy housing society, dhaka, bangladesh"
"73","3000 Sq. Ft. flat is now up to Rent located near to City Bank in Gulshan","4","4","1,350 sqft","Gulshan 2, Gulshan, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1510449-400x300.webp","https://www.bproperty.com/en/property/details-2009879.html","January 21, 2023","1.5 Lakh",90.4143085,23.7947536,"gulshan 2, dhaka 1212, bangladesh"
"74","Comfortable And Nicely Planned Flat Of 700 Sq Ft In Nikunja 2 For Rent Nearby Nikunja Jame Mosque","2","2","1,700 sqft","Nikunja 2, Nikunja, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1251341-400x300.webp","https://www.bproperty.com/en/property/details-1855992.html","January 21, 2023","16 Thousand",90.4178201,23.8318836,"nikunja 2, dhaka, bangladesh"
"75","Contact Us To Rent This 1449 Sq Ft Flat Which Is Now Available In Kallyanpur","3","3","1,500 sqft","Kallyanpur, Mirpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1568620-240x180.webp","https://www.bproperty.com/en/property/details-5504116.html","January 15, 2023","18 Thousand",90.3595372,23.7822036,"kallyanpur, dhaka, bangladesh"
