"","City","State.short","State.full","County","City.alias","address","lon","lat"
"26","Bow","NH","New Hampshire","MERRIMACK","Bow","Bow, New Hampshire",-71.5492377,43.1320263
"27","Groveton","NH","New Hampshire","COOS","Stark","Stark, New Hampshire",-71.4248026,44.601325
"28","Guild","NH","New Hampshire","SULLIVAN","Guild","Guild, New Hampshire",-72.1393918,43.3772692
"29","Tamworth","NH","New Hampshire","CARROLL","Tamworth","Tamworth, New Hampshire",-71.2631263,43.8597958
"30","Fryeburg","ME","Maine","OXFORD","Stow","Stow, Maine",-70.9850708,44.160623
"31","Limerick","ME","Maine","YORK","Limerick","Limerick, Maine",-70.7936719,43.6884112
"32","Moody","ME","Maine","YORK","Moody","Moody, Maine",-70.5811644,43.2767531
"33","Standish","ME","Maine","CUMBERLAND","Standish","Standish, Maine",-70.5509356,43.7355927
"34","Weld","ME","Maine","FRANKLIN","Weld","Weld, Maine",-70.4214542,44.6986707
"35","South China","ME","Maine","KENNEBEC","China","China, Maine",-69.5172641,44.4786791
"36","Abbot","ME","Maine","PISCATAQUIS","Abbot","Abbot, Maine",-69.4523477,45.1861838
"37","Brewer","ME","Maine","PENOBSCOT","Brewer","Brewer, Maine",-68.7614246,44.7967378
"38","Levant","ME","Maine","PENOBSCOT","Levant","Levant, Maine",-68.9347611,44.8692358
"39","Medway","ME","Maine","PENOBSCOT","Grindstone","Grindstone, Maine",-68.5866987,45.7361621
"40","Stetson","ME","Maine","PENOBSCOT","Stetson","Stetson, Maine",-69.1431864,44.8919352
"41","Chamberlain","ME","Maine","LINCOLN","Chamberlain","Chamberlain, Maine",-69.4799848,43.8875583
"42","Caribou","ME","Maine","AROOSTOOK","Caribou","Caribou, Maine",-67.9980365,46.8639995
"43","Strong","ME","Maine","FRANKLIN","Strong","Strong, Maine",-70.2208981,44.8075572
"44","Cavendish","VT","Vermont","WINDSOR","Cavendish","Cavendish, Vermont",-72.5914616,43.4145061
"45","Westminster Station","VT","Vermont","WINDHAM","Grout","Grout, Vermont",-72.5778415,44.5588028
"46","Dorset","VT","Vermont","BENNINGTON","Dorset","Dorset, Vermont",-73.0987801,43.2548074
"47","Burlington","VT","Vermont","CHITTENDEN","Burl","Burl, Vermont",-73.212072,44.4758825
"48","East Berkshire","VT","Vermont","FRANKLIN","Berkshire","Berkshire, Vermont",-72.7754147,44.9717124
"49","Essex Junction","VT","Vermont","CHITTENDEN","Pinewood","Pinewood, Vermont",-72.5778415,44.5588028
"50","Grand Isle","VT","Vermont","GRAND ISLE","Pearl","Pearl, Vermont",-73.3267986,44.687544
"51","Jeffersonville","VT","Vermont","LAMOILLE","Madonna","Madonna, Vermont",-72.5778415,44.5588028
"52","Sheldon","VT","Vermont","FRANKLIN","Fairground","Fairground, Vermont",-72.5778415,44.5588028
"53","Sheldon","VT","Vermont","FRANKLIN","Fairgrounds","Fairgrounds, Vermont",-72.5778415,44.5588028
"54","Adamant","VT","Vermont","WASHINGTON","Adamant","Adamant, Vermont",-72.5031461,44.3306281
"55","Barre","VT","Vermont","WASHINGTON","Barre","Barre, Vermont",-72.5020494,44.1970055
"56","Washington","VT","Vermont","ORANGE","Washing","Washing, Vermont",-72.432601,44.105619
"57","West Rutland","VT","Vermont","RUTLAND","Ira","Ira, Vermont",-73.0620512,43.5345134
"58","Glover","VT","Vermont","ORLEANS","Glover","Glover, Vermont",-72.1869766,44.7069038
"59","North Concord","VT","Vermont","ESSEX","Victory","Victory, Vermont",-71.8458676,44.5093444
"60","Guildhall","VT","Vermont","ESSEX","Guildhall","Guildhall, Vermont",-71.648975,44.5422719
"61","Vernon Rockville","CT","Connecticut","TOLLAND","Turnpike","Turnpike, Connecticut",-73.2838617,41.1414668
"62","Baltic","CT","Connecticut","NEW LONDON","Baltic","Baltic, Connecticut",-72.0850766,41.6172065
"63","Canterbury","CT","Connecticut","WINDHAM","Canterbury","Canterbury, Connecticut",-71.9709075,41.6984319
"64","Groton","CT","Connecticut","NEW LONDON","Borough","Borough, Connecticut",-73.087749,41.6032207
"65","Cheshire","CT","Connecticut","NEW HAVEN","Cheshire","Cheshire, Connecticut",-72.9106202,41.5083668
"66","Cobalt","CT","Connecticut","MIDDLESEX","Cobalt","Cobalt, Connecticut",-72.557823,41.5658471
"67","Middletown","CT","Connecticut","MIDDLESEX","Wesleyan","Wesleyan, Connecticut",-72.6569041,41.5566104
"68","Rockfall","CT","Connecticut","MIDDLESEX","Rockfall","Rockfall, Connecticut",-72.6999,41.5370936
"69","Bantam","CT","Connecticut","LITCHFIELD","Bantam","Bantam, Connecticut",-73.2362262,41.7245409
"70","Bloomfield","NJ","New Jersey","ESSEX","Grove","Grove, New Jersey",-74.2290319,40.8517876
"71","East Orange","NJ","New Jersey","ESSEX","Ampere","Ampere, New Jersey",-74.1948674,40.7667675
"72","Garfield","NJ","New Jersey","BERGEN","Ritz","Ritz, New Jersey",-74.2133815,40.6647568
"73","Hoboken","NJ","New Jersey","HUDSON","Uptown","Uptown, New Jersey",-74.4056612,40.0583238
"74","Union","NJ","New Jersey","UNION","Chestnut","Chestnut, New Jersey",-74.4056612,40.0583238
"75","Mountainside","NJ","New Jersey","UNION","Mountainside","Mountainside, New Jersey",-74.3573722,40.6723242
"76","West New York","NJ","New Jersey","HUDSON","Monitor","Monitor, New Jersey",-74.4056612,40.0583238
"77","Secaucus","NJ","New Jersey","HUDSON","Meadows","Meadows, New Jersey",-74.911853,40.8706269
"78","Newark","NJ","New Jersey","ESSEX","Academy","Academy, New Jersey",-74.4056612,40.0583238
"79","Newark","NJ","New Jersey","ESSEX","Midtown","Midtown, New Jersey",-74.0998179,40.3927801
"80","Newfoundland","NJ","New Jersey","PASSAIC","Newfoundland","Newfoundland, New Jersey",-74.4361497,41.0463254
"81","Hackensack","NJ","New Jersey","BERGEN","Hack","Hack, New Jersey",-74.4056612,40.0583238
"82","Asbury Park","NJ","New Jersey","MONMOUTH","Ocean","Ocean, New Jersey",-74.0420699,40.2645806
"83","Colts Neck","NJ","New Jersey","MONMOUTH","Phalanx","Phalanx, New Jersey",-74.1371437,40.3156919
"84","Deal","NJ","New Jersey","MONMOUTH","Deal","Deal, New Jersey",-74.0006927,40.243168
"85","Freehold","NJ","New Jersey","MONMOUTH","Freehold","Freehold, New Jersey",-74.3000878,40.2136754
"86","Highlands","NJ","New Jersey","MONMOUTH","Highlands","Highlands, New Jersey",-73.991527,40.40372
"87","Landing","NJ","New Jersey","MORRIS","Landing","Landing, New Jersey",-74.6656952,40.9054107
"88","Tranquility","NJ","New Jersey","SUSSEX","Tranquility","Tranquility, New Jersey",-74.8017267,40.9491164
"89","Blackwood","NJ","New Jersey","CAMDEN","Blenheim","Blenheim, New Jersey",-75.0773945,39.8092807
"90","Glassboro","NJ","New Jersey","GLOUCESTER","Aura","Aura, New Jersey",-75.1378842,39.6732043
"91","Hammonton","NJ","New Jersey","ATLANTIC","Elm","Elm, New Jersey",-74.8290519,39.6792833
"92","Voorhees","NJ","New Jersey","CAMDEN","Echelon","Echelon, New Jersey",-74.9957231,39.8484472
"93","Vincentown","NJ","New Jersey","BURLINGTON","Tabernacle","Tabernacle, New Jersey",-74.7107048,39.8433853
"94","Brigantine","NJ","New Jersey","ATLANTIC","Brigantine","Brigantine, New Jersey",-74.3645906,39.4101171
"95","Cologne","NJ","New Jersey","ATLANTIC","Cologne","Cologne, New Jersey",-74.6038079,39.4990857
"96","Villas","NJ","New Jersey","CAPE MAY","Villas","Villas, New Jersey",-74.941631,39.017252
"97","Port Norris","NJ","New Jersey","CUMBERLAND","Bivalve","Bivalve, New Jersey",-75.033789,39.234281
"98","Brick","NJ","New Jersey","OCEAN","Brick","Brick, New Jersey",-74.1371832,40.0578384
"99","Fords","NJ","New Jersey","MIDDLESEX","Fords","Fords, New Jersey",-74.3152408,40.5360104
"100","New York","NY","New York","NEW YORK","Knickerbocker","Knickerbocker, New York",NA,NA
"101","New York","NY","New York","NEW YORK","Prince","Prince, New York",-73.9982515,40.7244618
"102","New York","NY","New York","NEW YORK","Chinatown","Chinatown, New York",-73.9970307,40.7157509
"103","New York","NY","New York","NEW YORK","Planetarium","Planetarium, New York",-74.0059728,40.7127753
"104","New York","NY","New York","NEW YORK","College","College, New York",-74.0059728,40.7127753
"105","New York","NY","New York","NEW YORK","Midtown","Midtown, New York",-73.9840195,40.7549309
"106","Bronx","NY","New York","BRONX","Stadium","Stadium, New York",-74.0059728,40.7127753
"107","Bronx","NY","New York","BRONX","Hub","Hub, New York",76.5345672,32.1054084
"108","Bronx","NY","New York","BRONX","Boulevard","Boulevard, New York",-74.0059728,40.7127753
"109","Bronx","NY","New York","BRONX","Pilgrim","Pilgrim, New York",-73.9903041,40.7175067
"110","Bronx","NY","New York","BRONX","Esplanade","Esplanade, New York",-73.8559417,40.8587144
"111","Brewster","NY","New York","PUTNAM","Southeast","Southeast, New York",-73.6300729,41.3917065
"112","Purchase","NY","New York","WESTCHESTER","Purchase","Purchase, New York",-73.7144477,41.0400135
"113","Congers","NY","New York","ROCKLAND","Congers","Congers, New York",-73.9454159,41.150651
"114","Palisades","NY","New York","ROCKLAND","Palisades","Palisades, New York",-73.9132927,41.0113078
"115","Fresh Meadows","NY","New York","QUEENS","Utopia","Utopia, New York",-73.7932303,40.7348094
"116","Babylon","NY","New York","SUFFOLK","Babylon","Babylon, New York",-73.3256753,40.6956552
"117","North Babylon","NY","New York","SUFFOLK","Babylon","Babylon, New York",-73.3256753,40.6956552
"118","West Babylon","NY","New York","SUFFOLK","Babylon","Babylon, New York",-73.3256753,40.6956552
"119","Bay Shore","NY","New York","SUFFOLK","Kismet","Kismet, New York",-73.2050221,40.6350653
"120","Bohemia","NY","New York","SUFFOLK","Bohemia","Bohemia, New York",-73.1151117,40.7692649
"121","Mastic","NY","New York","SUFFOLK","Mastic","Mastic, New York",-72.8409359,40.8020431
"122","Water Mill","NY","New York","SUFFOLK","Watermill","Watermill, New York",-72.3478839,40.9178346
"123","Alcove","NY","New York","ALBANY","Alcove","Alcove, New York",-73.9256839,42.4686918
"124","Averill Park","NY","New York","RENSSELAER","Alps","Alps, New York",-74.0059728,40.7127753
"125","Medusa","NY","New York","ALBANY","Medusa","Medusa, New York",-74.1301365,42.4367469
"126","Nassau","NY","New York","RENSSELAER","Nassau","Nassau, New York",-73.6101159,42.5159145
"127","Round Lake","NY","New York","SARATOGA","Ushers","Ushers, New York",-73.7737314,42.9081321
"128","Speculator","NY","New York","HAMILTON","Speculator","Speculator, New York",-74.3618105,43.4972896
"129","Sprakers","NY","New York","MONTGOMERY","Root","Root, New York",-74.4760088,42.8235793
"130","Surprise","NY","New York","GREENE","Surprise","Surprise, New York",-73.9498522,42.392583
"131","Schenectady","NY","New York","SCHENECTADY","Scotia","Scotia, New York",-73.9642915,42.8264652
"132","Accord","NY","New York","ULSTER","Accord","Accord, New York",-74.2290366,41.7856489
"133","Bearsville","NY","New York","ULSTER","Shady","Shady, New York",-74.1593093,42.0664798
"134","Freehold","NY","New York","GREENE","Freehold","Freehold, New York",-74.0498564,42.3592503
"135","Olivebridge","NY","New York","ULSTER","Olive","Olive, New York",-74.2414092,41.9456873
"136","Purling","NY","New York","GREENE","Purling","Purling, New York",-74.0201416,42.2840699
"137","Beacon","NY","New York","DUTCHESS","Beacon","Beacon, New York",-73.9695832,41.5048158
"138","Billings","NY","New York","DUTCHESS","Billings","Billings, New York",-73.7631865,41.6712049
"139","Germantown","NY","New York","COLUMBIA","Cheviot","Cheviot, New York",-73.9037433,42.1250896
"140","Holmes","NY","New York","DUTCHESS","Holmes","Holmes, New York",-73.646795,41.5234268
"141","Holmes","NY","New York","DUTCHESS","Homes","Homes, New York",-74.0059728,40.7127753
"142","Grahamsville","NY","New York","SULLIVAN","Sundown","Sundown, New York",-74.4601545,41.8878706
"143","Huguenot","NY","New York","ORANGE","Huguenot","Huguenot, New York",-74.6309949,41.4178712
"144","Greenwich","NY","New York","WASHINGTON","Thomson","Thomson, New York",-74.663464,41.6543833
"145","Hadley","NY","New York","SARATOGA","Day","Day, New York",-74.0535126,43.3326653
"146","Hague","NY","New York","WARREN","Graphite","Graphite, New York",-73.5628994,43.7511733
"147","Paradox","NY","New York","ESSEX","Paradox","Paradox, New York",-73.6456827,43.8914481
"148","Warrensburg","NY","New York","WARREN","Riverbank","Riverbank, New York",-73.9977809,40.761242
"149","Constable","NY","New York","FRANKLIN","Constable","Constable, New York",-74.2971311,44.9292125
"150","Lyon Mountain","NY","New York","CLINTON","Standish","Standish, New York",-73.9490329,44.6892104
"151","Schuyler Falls","NY","New York","CLINTON","Swastika","Swastika, New York",-73.7606976,44.5131019
"152","Tupper Lake","NY","New York","FRANKLIN","Conifer","Conifer, New York",-74.6129536,44.2167274
"153","Liverpool","NY","New York","ONONDAGA","Bayberry","Bayberry, New York",-76.2227049,43.1464564
"154","Marietta","NY","New York","ONONDAGA","Amber","Amber, New York",-73.9799273,40.7763234
"155","New Woodstock","NY","New York","MADISON","Sheds","Sheds, New York",-75.8301918,42.8111782
"156","Parish","NY","New York","OSWEGO","Parish","Parish, New York",-76.1257576,43.4061806
"157","Pitcher","NY","New York","CHENANGO","Pitcher","Pitcher, New York",-75.8649183,42.5809027
"158","Port Byron","NY","New York","CAYUGA","Conquest","Conquest, New York",-76.6480028,43.1211773
"159","Seneca Falls","NY","New York","SENECA","Tyre","Tyre, New York",-76.8021781,42.9911757
"160","Tully","NY","New York","ONONDAGA","Vesper","Vesper, New York",-76.1813159,42.8175674
"161","Syracuse","NY","New York","ONONDAGA","Firms","Firms, New York",-74.0059728,40.7127753
"162","Hartwick","NY","New York","OTSEGO","Patent","Patent, New York",-75.0998833,42.6772966
"163","Inlet","NY","New York","HAMILTON","Inlet","Inlet, New York",-74.7929488,43.7545099
"164","Lee Center","NY","New York","ONEIDA","Stokes","Stokes, New York",-75.4732316,43.3036806
"165","Mohawk","NY","New York","HERKIMER","Mohawk","Mohawk, New York",-75.0040449,43.0114592
"166","Calcium","NY","New York","JEFFERSON","Calcium","Calcium, New York",-75.8460355,44.0217286
"167","Canton","NY","New York","SAINT LAWRENCE","Eddy","Eddy, New York",-75.2365975,44.5400608
"168","Carthage","NY","New York","JEFFERSON","Herrings","Herrings, New York",-75.6538083,44.0239552
"169","Clayton","NY","New York","JEFFERSON","Grindstone","Grindstone, New York",-76.1427244,44.2833789
"170","Fine","NY","New York","SAINT LAWRENCE","Fine","Fine, New York",-75.1375776,44.2476338
"171","Harrisville","NY","New York","LEWIS","Diana","Diana, New York",-75.3696228,44.0931788
"172","Limerick","NY","New York","JEFFERSON","Limerick","Limerick, New York",-76.0449044,44.0282049
"173","Lorraine","NY","New York","JEFFERSON","Worth","Worth, New York",-75.8776957,43.7842344
"174","Pyrites","NY","New York","SAINT LAWRENCE","Pyrites","Pyrites, New York",-75.185762,44.5147831
"175","Redwood","NY","New York","JEFFERSON","Redwood","Redwood, New York",-75.8013388,44.3008875
"176","Berkshire","NY","New York","TIOGA","Berkshire","Berkshire, New York",-76.1865964,42.3042402
"177","Candor","NY","New York","TIOGA","Candor","Candor, New York",-76.3424357,42.2328518
"178","Deposit","NY","New York","BROOME","Deposit","Deposit, New York",-75.4276769,42.0600834
"179","Deposit","NY","New York","BROOME","China","China, New York",-75.4001772,42.1448051
"180","Gilbertsville","NY","New York","OTSEGO","Butternuts","Butternuts, New York",-75.3178952,42.4773619
"181","Greene","NY","New York","CHENANGO","Triangle","Triangle, New York",-75.8801967,42.3397959
"182","Hancock","NY","New York","DELAWARE","Apex","Apex, New York",-75.2490604,42.067308
"183","Lisle","NY","New York","BROOME","Lisle","Lisle, New York",-76.0032571,42.3511845
"184","Owego","NY","New York","TIOGA","Waits","Waits, New York",-74.0059728,40.7127753
"185","South Plymouth","NY","New York","CHENANGO","Kirk","Kirk, New York",-75.6412973,42.6047923
"186","Tunnel","NY","New York","BROOME","Tunnel","Tunnel, New York",-74.0059728,40.7127753
"187","Vestal","NY","New York","BROOME","Vestal","Vestal, New York",-76.053575,42.0855898
"188","Walton","NY","New York","DELAWARE","Cleaver","Cleaver, New York",-75.23545,42.1806399
"189","Binghamton","NY","New York","BROOME","Hospital","Hospital, New York",-74.0059728,40.7127753
"190","Arcade","NY","New York","WYOMING","Arcade","Arcade, New York",-78.4230737,42.5339513
"191","Barker","NY","New York","NIAGARA","Barker","Barker, New York",-75.9230976,42.284664
"192","Bliss","NY","New York","WYOMING","Bliss","Bliss, New York",-78.252819,42.5770023
"193","Brant","NY","New York","ERIE","Brant","Brant, New York",-79.0176461,42.5883549
"194","Bergen","NY","New York","GENESEE","Bergen","Bergen, New York",-77.9422336,43.0853387
"195","Fishers","NY","New York","ONTARIO","Fishers","Fishers, New York",-77.4652255,43.0086373
"196","Hemlock","NY","New York","LIVINGSTON","Hemlock","Hemlock, New York",-77.6066976,42.7943581
"197","Pavilion","NY","New York","GENESEE","Pavilion","Pavilion, New York",-78.0228829,42.8761123
"198","Rochester","NY","New York","MONROE","Gates","Gates, New York",-77.7223162,43.1480944
"199","Rochester","NY","New York","MONROE","Panorama","Panorama, New York",-74.0059728,40.7127753
"200","Rochester","NY","New York","MONROE","Xerox","Xerox, New York",-73.9766164,40.7512475
"201","Rochester","NY","New York","MONROE","Frontier","Frontier, New York",-74.0059728,40.7127753
"202","Angelica","NY","New York","ALLEGANY","Angelica","Angelica, New York",-78.0158388,42.3067345
"203","Chautauqua","NY","New York","CHAUTAUQUA","Chautauqua","Chautauqua, New York",-79.4668445,42.209774
"204","Falconer","NY","New York","CHAUTAUQUA","Falconer","Falconer, New York",-79.1983799,42.1186695
"205","Stow","NY","New York","CHAUTAUQUA","Stow","Stow, New York",-79.4014368,42.1567241
"206","Almond","NY","New York","ALLEGANY","Almond","Almond, New York",-77.738327,42.3222916
"207","Hector","NY","New York","SCHUYLER","Hector","Hector, New York",-76.8724586,42.5006271
"208","Swain","NY","New York","ALLEGANY","Swain","Swain, New York",-77.8533322,42.4778443
"209","Clairton","PA","Pennsylvania","ALLEGHENY","Large","Large, Pennsylvania",-79.9245171,40.290329
"210","New Kensington","PA","Pennsylvania","WESTMORELAND","Barking","Barking, Pennsylvania",-79.7819926,40.5328454
"211","Sturgeon","PA","Pennsylvania","ALLEGHENY","Sturgeon","Sturgeon, Pennsylvania",-80.2110176,40.3847788
"212","Homestead","PA","Pennsylvania","ALLEGHENY","Homestead","Homestead, Pennsylvania",-79.9119948,40.4059025
"213","South Park","PA","Pennsylvania","ALLEGHENY","Library","Library, Pennsylvania",-79.9759204,40.2812322
"214","Presto","PA","Pennsylvania","ALLEGHENY","Presto","Presto, Pennsylvania",-80.1178337,40.3736804
"215","Pittsburgh","PA","Pennsylvania","ALLEGHENY","Arsenal","Arsenal, Pennsylvania",-77.1945247,41.2033216
"216","Pittsburgh","PA","Pennsylvania","ALLEGHENY","Observatory","Observatory, Pennsylvania",-80.0309617,40.5010475
"217","Pittsburgh","PA","Pennsylvania","ALLEGHENY","Rook","Rook, Pennsylvania",-80.0689437,40.4142358
"218","Pittsburgh","PA","Pennsylvania","ALLEGHENY","Universal","Universal, Pennsylvania",-79.7965571,40.4729792
"219","Pittsburgh","PA","Pennsylvania","ALLEGHENY","Plum","Plum, Pennsylvania",-79.7494911,40.5003456
"220","Washington","PA","Pennsylvania","WASHINGTON","Wash","Wash, Pennsylvania",-77.1945247,41.2033216
"221","Brave","PA","Pennsylvania","GREENE","Brave","Brave, Pennsylvania",-80.2586162,39.7267467
"222","Crucible","PA","Pennsylvania","GREENE","Crucible","Crucible, Pennsylvania",-79.9652236,39.948373
"223","Prosperity","PA","Pennsylvania","WASHINGTON","Prosperity","Prosperity, Pennsylvania",-80.2947855,40.0470171
"224","Muse","PA","Pennsylvania","WASHINGTON","Muse","Muse, Pennsylvania",-80.2003358,40.2928477
"225","Confluence","PA","Pennsylvania","SOMERSET","Confluence","Confluence, Pennsylvania",-79.3567015,39.8128547
"226","Grindstone","PA","Pennsylvania","FAYETTE","Grindstone","Grindstone, Pennsylvania",-79.8315845,40.0173724
"227","Isabella","PA","Pennsylvania","FAYETTE","Isabella","Isabella, Pennsylvania",-79.9361624,39.9439641
"228","Smock","PA","Pennsylvania","FAYETTE","Smock","Smock, Pennsylvania",-79.7833491,39.9987937
"229","White","PA","Pennsylvania","FAYETTE","White","White, Pennsylvania",-79.4369805,40.0700733
"230","Springs","PA","Pennsylvania","SOMERSET","Springs","Springs, Pennsylvania",-79.1491959,39.7336926
"231","Apollo","PA","Pennsylvania","WESTMORELAND","Apollo","Apollo, Pennsylvania",-79.5664333,40.5814546
"232","Export","PA","Pennsylvania","WESTMORELAND","Export","Export, Pennsylvania",-79.6255989,40.4181235
"233","Hunker","PA","Pennsylvania","WESTMORELAND","Hunker","Hunker, Pennsylvania",-79.6205961,40.2042377
"234","Manor","PA","Pennsylvania","WESTMORELAND","Manor","Manor, Pennsylvania",-79.6700433,40.333958
"235","Penn","PA","Pennsylvania","WESTMORELAND","Penn","Penn, Pennsylvania",-79.6411537,40.328958
"236","Rector","PA","Pennsylvania","WESTMORELAND","Rector","Rector, Pennsylvania",-79.242574,40.1916755
"237","Southwest","PA","Pennsylvania","WESTMORELAND","Southwest","Southwest, Pennsylvania",-79.5208718,40.1989597
"238","United","PA","Pennsylvania","WESTMORELAND","United","United, Pennsylvania",-79.4935886,40.2204531
"239","Commodore","PA","Pennsylvania","INDIANA","Commodore","Commodore, Pennsylvania",-78.9433646,40.7131207
"240","Coral","PA","Pennsylvania","INDIANA","Coral","Coral, Pennsylvania",-79.173824,40.501177
"241","Home","PA","Pennsylvania","INDIANA","Home","Home, Pennsylvania",-79.1053129,40.7395087
"242","Driftwood","PA","Pennsylvania","CAMERON","Driftwood","Driftwood, Pennsylvania",-78.134172,41.3397846
"243","Emporium","PA","Pennsylvania","CAMERON","Emporium","Emporium, Pennsylvania",-78.2352872,41.5114521
"244","Force","PA","Pennsylvania","ELK","Force","Force, Pennsylvania",-78.5015154,41.2578961
"245","Portage","PA","Pennsylvania","CAMBRIA","Puritan","Puritan, Pennsylvania",-78.6436294,40.3656297
"246","Bruin","PA","Pennsylvania","BUTLER","Bruin","Bruin, Pennsylvania",-79.7267162,41.0547849
"247","Mars","PA","Pennsylvania","BUTLER","Mars","Mars, Pennsylvania",-80.0117254,40.6958996
"248","New Castle","PA","Pennsylvania","LAWRENCE","Castle","Castle, Pennsylvania",-77.1945247,41.2033216
"249","Atlantic","PA","Pennsylvania","CRAWFORD","Atlantic","Atlantic, Pennsylvania",-80.3389547,41.5047757
"250","Hermitage","PA","Pennsylvania","MERCER","Hermitage","Hermitage, Pennsylvania",-80.44868,41.2333896
"251","Transfer","PA","Pennsylvania","MERCER","Transfer","Transfer, Pennsylvania",-80.4323932,41.3269011
"252","Wampum","PA","Pennsylvania","LAWRENCE","Wampum","Wampum, Pennsylvania",-80.3381195,40.8881184
"253","Clarion","PA","Pennsylvania","CLARION","Clarion","Clarion, Pennsylvania",-79.3853218,41.2147851
"254","Crown","PA","Pennsylvania","CLARION","Crown","Crown, Pennsylvania",-79.2713022,41.3895593
"255","Distant","PA","Pennsylvania","ARMSTRONG","Distant","Distant, Pennsylvania",-79.3567079,40.9695095
"256","Hawthorn","PA","Pennsylvania","CLARION","Hawthorn","Hawthorn, Pennsylvania",-79.274484,41.0200656
"257","Rimersburg","PA","Pennsylvania","CLARION","Huey","Huey, Pennsylvania",-79.508101,41.0808965
"258","Cranberry","PA","Pennsylvania","VENANGO","Cranberry","Cranberry, Pennsylvania",-80.1071379,40.6849626
"259","East Hickory","PA","Pennsylvania","FOREST","Endeavor","Endeavor, Pennsylvania",-79.3850463,41.5895059
"260","Endeavor","PA","Pennsylvania","FOREST","Endeavor","Endeavor, Pennsylvania",-79.3850463,41.5895059
"261","Marble","PA","Pennsylvania","CLARION","Marble","Marble, Pennsylvania",-79.4381013,41.338951
"262","Bellwood","PA","Pennsylvania","BLAIR","Antis","Antis, Pennsylvania",-78.3614672,40.6314639
"263","Coupon","PA","Pennsylvania","CAMBRIA","Coupon","Coupon, Pennsylvania",-78.5161623,40.5370498
"264","Queen","PA","Pennsylvania","BEDFORD","Queen","Queen, Pennsylvania",-78.5075157,40.2592434
"265","Waterfall","PA","Pennsylvania","FULTON","Waterfall","Waterfall, Pennsylvania",-78.0622492,40.1270952
"266","Wood","PA","Pennsylvania","BEDFORD","Wood","Wood, Pennsylvania",-78.1363963,40.1684142
"267","Cyclone","PA","Pennsylvania","MCKEAN","Cyclone","Cyclone, Pennsylvania",-78.5858578,41.8322852
"268","Roulette","PA","Pennsylvania","POTTER","Roulette","Roulette, Pennsylvania",-78.133638,41.7585729
"269","Drifting","PA","Pennsylvania","CLEARFIELD","Drifting","Drifting, Pennsylvania",-78.1083424,41.0242238
"270","Gaines","PA","Pennsylvania","TIOGA","Marshlands","Marshlands, Pennsylvania",-77.5785952,41.713403
